,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
0,本店営業部,京都府京都市下京区烏丸通松原上ル薬師前町700,8:00,21:00,8:00,21:00,8:00,21:00,110,135.759583,34.992943
1,京都府立医科大学病院,京都府京都市上京区河原町通広小路上る梶井町465番地,7:30,20:00,7:30,20:00,-,-,110,135.756714,35.029552
2,高倉錦,京都府京都市中京区錦小路通高倉西入西魚屋町592番地1,8:00,20:00,8:00,20:00,8:00,20:00,110,135.762504,35.005139
3,京都市立病院,京都府京都市中京区壬生東高田町 1番地の2,9:00,18:00,9:00,18:00,-,-,110,135.73465,34.997562
4,京都新聞社,京都府京都市中京区烏丸通夷川北入少将井町239番地,8:00,20:00,8:00,20:00,8:00,20:00,110,135.758133,35.007889
5,府立大学,京都府京都市左京区下鴨半木町1番5,8:45,20:00,8:45,20:00,-,-,110,135.75975,35.050365
6,京都第一赤十字病院,京都府京都市東山区本町15丁目 749番地,8:45,19:00,8:45,19:00,-,-,110,135.772827,34.980305
7,京都第二赤十字病院,京都府京都市上京区釜座通丸太町上る春帯町355-5,8:45,19:00,8:45,19:00,8:45,19:00,110,135.756714,35.029552
8,四条烏丸,京都府京都市下京区烏丸通四条下る水銀屋町612番地,7:00,23:00,7:00,23:00,7:00,23:00,110,135.759583,34.992943
9,府庁出張所,京都府京都市上京区下立売通新町西入藪ノ内町85-4　京都府庁内,8:00,18:00,-,-,-,-,110,135.755316,35.020933
10,四条支店,京都府京都市下京区四条通寺町西入ル奈良物町376,7:00,23:00,7:00,23:00,7:00,23:00,110,135.766422,35.003555
11,高島屋京都店,京都府京都市下京区四条通河原町西入真町52番地,10:00,20:00,10:00,20:00,10:00,20:00,110,135.768719,35.003116
12,七条支店,京都府京都市下京区七条通大宮東入ル大工町107,8:00,21:00,8:00,21:00,8:00,21:00,110,135.749778,34.989303
13,京都駅前支店,京都府京都市下京区烏丸通七条下ル東塩小路町731,8:00,21:00,8:00,21:00,8:00,21:00,110,135.759583,34.992943
14,ジェイアール京都伊勢丹,京都府京都市下京区烏丸通塩小路下る東塩小路町,10:00,20:00,10:00,20:00,10:00,20:00,110,135.759583,34.992943
15,ＪＲ京都駅,京都府京都市下京区烏丸通塩小路下ル東塩小路町,7:00,23:00,7:00,23:00,7:00,23:00,110,135.759583,34.992943
16,地下鉄京都駅,京都府京都市下京区東塩小路町地先,7:00,23:00,7:00,23:00,7:00,23:00,110,135.758743,34.987183
17,河原町支店,京都府京都市下京区河原町通五条上る安土町612番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.755478,34.987606
18,大宮支店,京都府京都市下京区四条通猪熊東入ル唐津屋町510,7:00,23:00,7:00,23:00,7:00,23:00,110,135.750553,35.003761
19,マツモト五条店,京都府京都市下京区中堂寺北町７０,7:30,21:00,7:30,21:00,7:30,21:00,110,135.741135,34.997444
20,三条支店,京都府京都市中京区三条通烏丸東入ル梅忠町9,7:00,23:00,7:00,23:00,7:00,23:00,110,135.75993,35.008463
21,河原町六角,京都府京都市中京区河原町通三条下ル二丁目山崎町256番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.751389,35.009998
22,地下鉄烏丸御池駅,京都府京都市中京区虎屋町地先,7:00,23:00,7:00,23:00,7:00,23:00,110,135.759521,35.010387
23,府庁前支店,京都府京都市中京区丸太町通西洞院東入る梅屋町166,7:00,23:00,7:00,23:00,7:00,23:00,110,135.752548,35.017426
24,デイリーカナートイズミヤ堀川丸太町店,京都府京都市上京区堀川通丸太町下る下堀川町146番地,9:00,23:00,9:00,23:00,9:00,23:00,110,135.751341,35.016873
25,西院支店,京都府京都市右京区西院平町14番,7:00,23:00,7:00,23:00,7:00,23:00,110,135.732422,35.00079
26,壬生檜町,京都府京都市中京区壬生檜町6番地,8:45,20:00,8:45,20:00,8:45,20:00,110,135.734283,34.999638
27,イオンモール京都五条,京都府京都市右京区西院追分町２５番地１,7:00,23:00,7:00,23:00,7:00,23:00,110,135.727249,34.997326
28,京都リサーチパーク,京都府京都市下京区中堂寺粟田町 93,8:00,20:00,8:00,20:00,8:00,20:00,110,135.738541,34.99498
29,西七条支店,京都府京都市下京区西七条北衣田町49番地2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.732697,34.989784
30,西四条支店,京都府京都市右京区山ノ内池尻町1-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.720474,35.004738
