,name, address, start_time, end_time, start_time_saturday, end_time_saturday, start_time_holiday, end_time_holiday, fee, longitude, latitude
0,セブン-イレブン京都岩倉幡枝店共同出張所,京都府京都市左京区岩倉南平岡町66,0:00,24:00,0:00,24:00,0:00,24:00,110,135.776041,35.066445
1,セブン-イレブン一乗寺北大丸町店共同出張所,京都府京都市左京区一乗寺北大丸町56,0:00,24:00,0:00,24:00,0:00,24:00,110,135.785548,35.045284
2,京阪電車京阪本線出町柳駅共同出張所,京都府京都市左京区賀茂大橋東詰,6:00,24:00,6:00,24:00,6:00,24:00,110,135.770784,35.029086
3,セブン-イレブン出町柳駅前店共同出張所,京都府京都市左京区田中上柳町53-4,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,110,135.773848,35.030405
4,セブン-イレブン京都下鴨高木町店共同出張所,京都府京都市左京区下鴨高木町34番地,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7908103,35.0502666
5,セブン-イレブン京都八瀬駅前店共同出張所,京都府京都市左京区八瀬野瀬町42-3,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7877264,35.0758744
6,セブン-イレブン京都白川北大路店共同出張所,京都府京都市左京区一乗寺木ノ本町44番地,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7914797,35.0415641
7,セブン-イレブン京都岩倉忠在地町店共同出張所,京都府京都市左京区岩倉忠在地町530,0:00,24:00,0:00,24:00,0:00,24:00,110,135.787726,35.075874
8,セブン-イレブン京都修学院駅前店共同出張所,京都府京都市左京区山端壱町田町8-80,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7760647,35.0443972
9,セブン-イレブン京都田中上古川町店共同出張所,京都府京都市左京区田中上古川町6,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,110,135.7841834,35.040339
10,セブン-イレブン京都神宮丸太町店共同出張所,京都府京都市左京区丸太町通川端東入東丸太町4番2,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,110,135.7819401,35.0705854
11,セブン-イレブン京都白川通上高野店共同出張所,京都府京都市左京区上高野車地町104,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7859297,35.0371015
12,セブン-イレブン京都田中西高原町店共同出張所,京都府京都市左京区田中西高原町27,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7923365,35.0631746
13,セブン-イレブン京都吉田近衛町店共同出張所,京都府京都市左京区吉田近衛町26-84,0:00,24:00,0:00,24:00,0:00,24:00,110,135.772452,35.0184804
14,セブン-イレブン京都岩倉中河原町店共同出張所,京都府京都市左京区岩倉中河原町100,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7787661,35.0212552
15,セブン-イレブン下鴨水口町店共同出張所,京都府京都市左京区下鴨水口町23-1,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,not 24hour,110,135.7674638,35.0545879
16,セブン-イレブン京都下鴨膳部町店共同出張所,京都府京都市左京区下鴨膳部町6-1,0:00,24:00,0:00,24:00,0:00,24:00,110,135.7717619,35.0420324
17,セブン-イレブン百万遍店共同出張所,京都府京都市左京区田中門前町28番10,0:00,24:00,0:00,24:00,0:00,24:00,110,135.778925,35.029207
18,京阪電車京阪本線神宮丸太町駅共同出張所,京都府京都市左京区丸太町橋東詰,6:00,24:00,6:00,24:00,6:00,24:00,110,135.752543,35.008567
19,京都市営地下鉄烏丸線国際会館駅共同出張所,京都府京都市左京区岩倉南大鷺町(地内),5:30,23:00,5:30,23:00,5:30,23:00,110,135.7825477,35.0116016
20,セブン-イレブン京都平安神宮前店共同出張所,京都府京都市左京区岡崎円勝寺町80-1,0:00,24:00,0:00,24:00,0:00,24:00,110,135.786168,35.0624183
21,洛北阪急スクエア共同出張所,京都府京都市左京区高野西開町36番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.7790151,35.0411191
