,name, address, start_time, end_time, start_time_saturday, end_time_saturday, start_time_holiday, end_time_holiday, fee, longitude, latitude
0,京都嵐山郵便局,京都府京都市西京区嵐山谷ｹ辻子町37,9:00,17:30,9:00,12:30,-,-,0,135.68259,35.00606
1,京都大枝北福西郵便局,京都府京都市西京区大枝北福西町3−2−1,9:00,17:30,9:00,12:30,-,-,0,135.68324,34.95971
2,京都大枝西新林郵便局,京都府京都市西京区大枝西新林町5−1−1,9:00,17:30,9:00,12:30,-,-,0,135.66679,34.96825
3,京都大原野西竹の里郵便局,京都府京都市西京区大原野西竹の里町1−19−4,9:00,17:30,9:00,12:30,-,-,0,135.67068,34.95692
4,京都大原野灰方郵便局,京都府京都市西京区大原野灰方町189−3,9:00,17:30,9:00,12:30,-,-,0,135.66898,34.95217
5,京都樫原郵便局,京都府京都市西京区樫原分田5−3,9:00,17:30,9:00,12:30,-,-,0,135.69588,34.97339
6,京都桂上豆田郵便局,京都府京都市西京区桂上豆田町39−37,9:00,17:30,9:00,12:30,-,-,0,135.70186,34.98506
7,京都桂坂郵便局,京都府京都市西京区御陵大枝山町5−27−4,8:00,19:00,9:00,18:00,9:00,17:00,0,135.66624,34.98332
8,京都桂西口郵便局,京都府京都市西京区川島有栖川町35−1,9:00,19:00,9:00,17:00,9:00,17:00,0,135.70107,34.97894
9,京都桂郵便局,京都府京都市西京区桂木ﾉ下町14−19,9:00,17:30,9:00,12:30,-,-,0,135.70627,34.98023
10,京都上桂郵便局,京都府京都市西京区上桂宮ﾉ後町33−4,9:00,19:00,9:00,17:00,9:00,17:00,0,135.69647,34.99003
11,京都上里郵便局,京都府京都市西京区大原野上里紅葉町3−1,9:00,17:30,9:00,12:30,-,-,0,135.68845,34.95006
12,京都川島郵便局,京都府京都市西京区川島松園町97−2(ｸﾞﾚｰｽ桂1階),9:00,19:00,9:00,17:00,9:00,17:00,0,135.70193,34.97165
13,京都下津林郵便局,京都府京都市西京区下津林南大般若町43−1,9:00,19:00,9:00,18:00,9:00,18:00,0,135.71368,34.9744
14,京都松尾郵便局,京都府京都市西京区松室庄田町4−2,9:00,17:30,9:00,12:30,-,-,0,135.68918,34.99452
15,京都山田郵便局,京都府京都市西京区山田六ﾉ坪町8−62,9:00,19:00,9:00,17:00,-,-,0,135.69135,34.98365
16,洛西郵便局,京都府京都市西京区大原野東境谷町2−3,9:00,16:00,-,-,-,-,0,135.6748,34.96444
17,京都北郵便局ゆうちょ銀行　京都北店かんぽ生命　京都支店　京都北郵便局かんぽサービス部,京都府京都市北区紫竹下本町39,9:00,16:00,-,-,-,-,0,135.75195,35.05023
18,小野郷郵便局,京都府京都市北区小野下ﾉ町78−1,8:45,18:00,9:00,14:00,-,-,0,135.67448,35.11087
19,京都出雲路郵便局,京都府京都市北区鞍馬口通寺町西入新御霊口町285−102,9:00,17:30,9:00,12:30,-,-,0,135.76469,35.03796
20,京都大宮小野堀郵便局,京都府京都市北区大宮東小野堀町39−2,9:00,19:00,9:00,17:00,9:00,17:00,0,135.74471,35.05571
21,京都上賀茂郵便局,京都府京都市北区上賀茂薮田町25-4,9:00,19:00,9:00,17:00,9:00,17:00,0,135.75916,35.05356
22,京都北大路千本郵便局,京都府京都市北区紫野下御輿町12−1,9:00,19:00,9:00,17:00,9:00,17:00,0,135.73933,35.04071
23,京都小松原郵便局,京都府京都市北区小松原北町55−3,8:00,21:00,9:00,17:00,9:00,17:00,0,135.72697,35.03282
24,京都小山中溝郵便局,京都府京都市北区小山中溝町32,9:00,17:30,9:00,12:30,-,-,0,135.75507,35.03754
25,京都小山西花池郵便局,京都府京都市北区小山西花池町1−14,9:00,19:00,9:00,17:00,9:00,17:00,0,135.76009,35.04119
26,京都小山初音郵便局,京都府京都市北区小山初音町50,9:00,17:30,9:00,12:30,-,-,0,135.75485,35.04671
27,京都紫竹郵便局,京都府京都市北区紫竹西桃ﾉ本町2−2,9:00,19:00,9:00,18:00,9:00,17:00,0,135.74809,35.04775
28,京都大将軍郵便局,京都府京都市北区大将軍西町47,9:00,17:30,9:00,12:30,-,-,0,135.73035,35.02552
29,京都鷹峯郵便局,京都府京都市北区鷹峯藤林町6−348,9:00,17:30,9:00,12:30,-,-,0,135.73584,35.04971
30,京都柊野郵便局,京都府京都市北区上賀茂朝露ｹ原町9−17,9:00,19:00,9:00,17:00,9:00,17:00,0,135.74947,35.06404
31,京都紫野御所田郵便局,京都府京都市北区紫野上御所田町62−1,9:00,17:30,9:00,12:30,-,-,0,135.75198,35.04162
32,金閣寺郵便局,京都府京都市北区衣笠北天神森町32,8:00,19:00,9:00,18:00,9:00,18:00,0,135.73285,35.0386
33,京都御池柳馬場郵便局,京都府京都市中京区柳馬場通御池上る虎石町51,9:00,17:30,9:00,12:30,-,-,0,135.76561,35.0045
34,京都大宮六角郵便局,京都府京都市中京区大宮通六角下る六角大宮町233,9:00,17:30,9:00,12:30,-,-,0,135.74867,35.00552
35,京都衣棚夷川郵便局,京都府京都市中京区衣棚通夷川上る花立町273−2,9:00,17:30,9:00,12:30,-,-,0,135.75742,35.00855
36,京都西院郵便局,京都府京都市中京区壬生仙念町24,9:00,19:00,9:00,17:00,9:00,17:00,0,135.73431,35.00377
37,京都三条御幸町郵便局,京都府京都市中京区御幸町通三条下る海老屋町313,9:00,17:30,9:00,12:30,-,-,0,135.75877,35.01619
